Class,Precision,Recall,F1-Score,Support
glioma,1.0,0.95,0.9743589743589743,400.0
meningioma,0.9567198177676538,0.997624703087886,0.9767441860465116,421.0
no tumor,0.9935275080906149,1.0,0.9967532467532467,614.0
pituitary,0.9973190348525469,0.992,0.9946524064171123,375.0
