Metric,Mean,CI_low,CI_high
Accuracy,0.9867685082872928,0.9812016574585636,0.9922651933701657
Macro F1,0.9856408005268997,0.9792358317876964,0.9914425518690092
Macro AUC,0.9996200226108938,0.9989189284783314,0.9999751114585754
